study name,sub-group,timepoint,Data format,OR,Lower Limit  ,Upper Limit  ,"Event 
delirium group",Delirium group total (N),"Event 
no-delirium group",Non-delirium group total (N),"95% confidence 
interval",Log OR,SE,"Delirium 
mean","Delirium
(SD)","Delirium 
Sample size","No-delirium 
mean","No-delirium
(SD)","No-delirium 
Sample size",Effect direction,"Independent 
group t-value","Independent 
group p-value",difference in means,Lower limit,upper limit,Tail,Hedges's g,Std Err,Variance
Duprey 2020,Mortality ,1.67 month,Cohort 2x2 (Events),,,,115,542,171,953,,,,,,,,,,,,,,,,,,,
Duprey 2020,Mortality ,2.33 month,Cohort 2x2 (Events),,,,118,242,177,953,,,,,,,,,,,,,,,,,,,
Duprey 2020,Mortality ,3 month,Cohort 2x2 (Events),,,,124,542,183,953,,,,,,,,,,,,,,,,,,,
Durlach 2023,Mortality,3 month,Cohort 2x2 (Events),,,,9,42,29,193,,,,,,,,,,,,,,,,,,,
Edlund 2006,Mortality,12 month,Cohort 2x2 (Events),,,,45,125,55,275,,,,,,,,,,,,,,,,,,,
van Eijsden 2015,Mortality ,12 month,Cohort 2x2 (Events),,,,20,29,24,63,,,,,,,,,,,,,,,,,,,
van Eijsden 2015,Mortality ,18 month,Cohort 2x2 (Events),,,,26,29,63,63,,,,,,,,,,,,,,,,,,,
van Eijsden 2015,Mortality ,6 month,Cohort 2x2 (Events),,,,11,29,5,63,,,,,,,,,,,,,,,,,,,
Elsayem 2017,Mortality,10 month,Cohort 2x2 (Events),,,,39,44,144,198,,,,,,,,,,,,,,,,,,,
Elsayem 2017,Mortality ,15 month,Cohort 2x2 (Events),,,,43,44,186,198,,,,,,,,,,,,,,,,,,,
Elsayem 2017,Mortality ,5 month,Cohort 2x2 (Events),,,,33,44,81,198,,,,,,,,,,,,,,,,,,,
Evensen 2021,Mortality,12 month,Cohort 2x2 (Events),,,,18,83,45,145,,,,,,,,,,,,,,,,,,,
FialhoSilva 2021,Mortality,3 month,Cohort 2x2 (Events),,,,18,71,5,151,,,,,,,,,,,,,,,,,,,
Francis 1990,Mortality,6 month,Cohort 2x2 (Events),,,,7,49,17,167,,,,,,,,,,,,,,,,,,,
Francis 1992,Mortality,24 month,Cohort 2x2 (Events),,,,18,45,37,160,,,,,,,,,,,,,,,,,,,
Furlaneto 2007,Mortality ,24 month,Cohort 2x2 (Events),,,,9,25,16,60,,,,,,,,,,,,,,,,,,,
Furlaneto 2007,Mortality ,48 month,Cohort 2x2 (Events),,,,15,25,24,60,,,,,,,,,,,,,,,,,,,
Gonzale 2005,Mortality,3 month,Cohort 2x2 (Events),,,,20,58,10,91,,,,,,,,,,,,,,,,,,,
Gonzalez 2009,Mortality,3 month,Cohort 2x2 (Events),,,,49,192,20,350,,,,,,,,,,,,,,,,,,,
Gottschalk 2015,Mortality,168 month,Cohort 2x2 (Events),,,,127,151,213,308,,,,,,,,,,,,,,,,,,,
Gou 2021,Mortality ,12 month,Cohort 2x2 (Events),,,,1,122,6,375,,,,,,,,,,,,,,,,,,,
Goudzwaard 2020,Mortality,16 month,Cohort 2x2 (Events),,,,24,75,70,468,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality,1 month,Cohort 2x2 (Events),,,,11,108,11,520,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality ,2 month,Cohort 2x2 (Events),,,,15,108,19,520,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality ,3 month,Cohort 2x2 (Events),,,,22,108,28,520,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality,4 month,Cohort 2x2 (Events),,,,27,108,34,520,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality ,5 month,Cohort 2x2 (Events),,,,29,108,46,520,,,,,,,,,,,,,,,,,,,
Han 2010,Mortality,6 month,Cohort 2x2 (Events),,,,30,108,49,520,,,,,,,,,,,,,,,,,,,
Hapca 2018,Mortality ,1 month,Cohort 2x2 (Events),,,,153,1065,382,4344,,,,,,,,,,,,,,,,,,,
Hapca 2018,Mortality ,12 month,Cohort 2x2 (Events),,,,233,508,222,522,,,,,,,,,,,,,,,,,,,
Hapca 2018,Mortality ,24 month,Cohort 2x2 (Events),,,,299,508,289,522,,,,,,,,,,,,,,,,,,,
Hapca 2018,Mortality ,3 month,Cohort 2x2 (Events),,,,263,1065,667,4344,,,,,,,,,,,,,,,,,,,
Hapca 2018,Mortality ,6 month,Cohort 2x2 (Events),,,,172,508,150,522,,,,,,,,,,,,,,,,,,,
Hempenius 2016,Mortality,3 month,Cohort 2x2 (Events),,,,1,31,11,222,,,,,,,,,,,,,,,,,,,
Lee 2017,"Mortality delirium vs No delirium, no dementia",1 month,Cohort 2x2 (Events),,,,8,73,9,248,,,,,,,,,,,,,,,,,,,
Lee 2017,Mortality DSD vs dementia,1 month,Cohort 2x2 (Events),,,,8,77,3,68,,,,,,,,,,,,,,,,,,,
Lee 2017,"Mortality delirium vs No delirium, no dementia",12 month,Cohort 2x2 (Events),,,,17,73,43,248,,,,,,,,,,,,,,,,,,,
Lee 2017,Mortality DSD vs dementia,12 month,Cohort 2x2 (Events),,,,31,77,18,68,,,,,,,,,,,,,,,,,,,
Lee 2017,"Mortality delirium vs No delirium, no dementia",6 month,Cohort 2x2 (Events),,,,15,73,30,248,,,,,,,,,,,,,,,,,,,
Lee 2017,Mortality DSD vs dementia,6 month,Cohort 2x2 (Events),,,,21,77,11,68,,,,,,,,,,,,,,,,,,,
Hölttä 2011,Mortality,24 month,Cohort 2x2 (Events),,,,36,66,82,189,,,,,,,,,,,,,,,,,,,
Honda 2016,Mortality ,12 month,Cohort 2x2 (Events),,,,85,134,257,465,,,,,,,,,,,,,,,,,,,
Honda 2016,Mortality ,18 month,Cohort 2x2 (Events),,,,104,134,354,465,,,,,,,,,,,,,,,,,,,
Honda 2016,Mortality ,24 month,Cohort 2x2 (Events),,,,124,134,422,465,,,,,,,,,,,,,,,,,,,
Honda 2016,Mortality ,6 month,Cohort 2x2 (Events),,,,59,134,159,465,,,,,,,,,,,,,,,,,,,
Hoogma 2023,Mortality ,1 month,Cohort 2x2 (Events),,,,2,93,2,157,,,,,,,,,,,,,,,,,,,
Hoogma 2023,Mortality ,6 month,Cohort 2x2 (Events),,,,6,93,5,157,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality ADRD patients,1 month,Cohort 2x2 (Events),,,,6,39,4,37,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality Non-ADRD patients,1 month,Cohort 2x2 (Events),,,,3,56,8,179,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality ADRD patients,12 month,Cohort 2x2 (Events),,,,2,39,3,37,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality Non-ADRD patients,12 month,Cohort 2x2 (Events),,,,13,56,36,179,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality ADRD patients,3 month,Cohort 2x2 (Events),,,,18,39,11,37,,,,,,,,,,,,,,,,,,,
Hshieh 2023,Mortality Non-ADRD patients,3 month,Cohort 2x2 (Events),,,,5,56,18,179,,,,,,,,,,,,,,,,,,,
Hughes 2021,Mortality,12 month,Cohort 2x2 (Events),,,,305,740,113,300,,,,,,,,,,,,,,,,,,,
Inouye 2016,Mortality,19 month,Cohort 2x2 (Events),,,,12,134,25,426,,,,,,,,,,,,,,,,,,,
Isaia 2009,Mortality,6 month,Cohort 2x2 (Events),,,,6,14,12,130,,,,,,,,,,,,,,,,,,,
Iwata 2020,Mortality ,12 month,Cohort 2x2 (Events),,,,77,109,138,299,,,,,,,,,,,,,,,,,,,
Iwata 2020,Mortality ,3 month,Cohort 2x2 (Events),,,,32,109,60,299,,,,,,,,,,,,,,,,,,,
Iwata 2020,Mortality ,6 month,Cohort 2x2 (Events),,,,53,109,94,299,,,,,,,,,,,,,,,,,,,
Iwata 2020,Mortality ,9 month,Cohort 2x2 (Events),,,,67,109,122,299,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,1 month,Cohort 2x2 (Events),,,,15,155,20,929,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,2 month,Cohort 2x2 (Events),,,,24,155,42,929,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,3 month,Cohort 2x2 (Events),,,,32,155,61,929,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,4 month,Cohort 2x2 (Events),,,,38,155,76,929,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,5 month,Cohort 2x2 (Events),,,,40,155,89,929,,,,,,,,,,,,,,,,,,,
Han 2017,Mortality ,6 month,Cohort 2x2 (Events),,,,43,155,97,929,,,,,,,,,,,,,,,,,,,
Juliebø 2010,"Mortality (dementia, delirium vs dementia, no delirium) ",12 month,Cohort 2x2 (Events),,,,36,101,14,50,,,,,,,,,,,,,,,,,,,
Juliebø 2010,"Mortality (no dementia, delirium vs no dementia, no delirium) ",12 month,Cohort 2x2 (Events),,,,4,42,14,138,,,,,,,,,,,,,,,,,,,
Kat 2008,Mortality,30 month,Cohort 2x2 (Events),,,,39,71,14,41,,,,,,,,,,,,,,,,,,,
Kat 2011,Mortality,24 month,Cohort 2x2 (Events),,,,22,67,54,522,,,,,,,,,,,,,,,,,,,
Kennedy 2014,Mortality,1 month,Cohort 2x2 (Events),,,,4,63,7,613,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,12 month,Cohort 2x2 (Events),,,,25,44,67,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,18 month,Cohort 2x2 (Events),,,,29,44,88,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality,24 month,Cohort 2x2 (Events),,,,30,44,101,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,30 month,Cohort 2x2 (Events),,,,31,44,114,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,36 month,Cohort 2x2 (Events),,,,31,44,120,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,42 month,Cohort 2x2 (Events),,,,32,44,129,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,48 month,Cohort 2x2 (Events),,,,34,44,136,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,54 month,Cohort 2x2 (Events),,,,35,44,145,371,,,,,,,,,,,,,,,,,,,
Kilicaslan 2022,Mortality ,60 month,Cohort 2x2 (Events),,,,35,44,148,371,,,,,,,,,,,,,,,,,,,
Korber 2021,Mortality ,14 month,Cohort 2x2 (Events),,,,9,16,51,161,,,,,,,,,,,,,,,,,,,
Korber 2021,Mortality ,20 month,Cohort 2x2 (Events),,,,11,16,103,161,,,,,,,,,,,,,,,,,,,
Korber 2021,Mortality ,26.67 month,Cohort 2x2 (Events),,,,13,16,142,161,,,,,,,,,,,,,,,,,,,
Korber 2021,Mortality ,6.67 month,Cohort 2x2 (Events),,,,5,16,27,161,,,,,,,,,,,,,,,,,,,
Koster 2012,Mortality,6 month,Cohort 2x2 (Events),,,,7,46,5,218,,,,,,,,,,,,,,,,,,,
Kotfis 2019,Mortality ,12 month,Cohort 2x2 (Events),,,,69,121,151,639,,,,,,,,,,,,,,,,,,,
Kotfis 2019,Mortality ,1 month,Cohort 2x2 (Events),,,,41,121,82,639,,,,,,,,,,,,,,,,,,,
Kotfis 2019,Mortality ,3 month,Cohort 2x2 (Events),,,,57,121,118,639,,,,,,,,,,,,,,,,,,,
Krzych 2014,Mortality ,46 month,Cohort 2x2 (Events),,,,55,237,376,5544,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,1 month,Cohort 2x2 (Events),,,,0,129,1,419,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,12 month,Cohort 2x2 (Events),,,,1,120,2,391,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality,18 month,Cohort 2x2 (Events),,,,1,117,5,382,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,2 month,Cohort 2x2 (Events),,,,0,126,1,419,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,24 month,Cohort 2x2 (Events),,,,3,106,6,368,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,30 month,Cohort 2x2 (Events),,,,4,83,7,242,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,36 month,Cohort 2x2 (Events),,,,0,110,3,346,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,48 month,Cohort 2x2 (Events),,,,9,90,15,295,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,6 month,Cohort 2x2 (Events),,,,1,124,4,404,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,60 month,Cohort 2x2 (Events),,,,9,79,12,275,,,,,,,,,,,,,,,,,,,
Kunicki 2023,Mortality ,72 month,Cohort 2x2 (Events),,,,11,65,15,248,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (delirium vs no delirium no dementia),1 month,Cohort 2x2 (Events),,,,2,14,1,36,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (dsd vs dementia only),1 month,Cohort 2x2 (Events),,,,5,69,1,54,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (delirium vs no delirium no dementia),3 month,Cohort 2x2 (Events),,,,3,14,1,36,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (dsd vs dementia only),3 month,Cohort 2x2 (Events),,,,9,69,3,54,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (delirium vs no delirium no dementia),6 month,Cohort 2x2 (Events),,,,4,14,2,36,,,,,,,,,,,,,,,,,,,
Moon 2018,Mortality (dsd vs dementia only),6 month,Cohort 2x2 (Events),,,,11,69,4,54,,,,,,,,,,,,,,,,,,,
Labaste 2020,Mortality,36 month,Cohort 2x2 (Events),,,,35,61,35,112,,,,,,,,,,,,,,,,,,,
Large 2013,Mortality ,12 month,Cohort 2x2 (Events),,,,5,14,12,35,,,,,,,,,,,,,,,,,,,
Large 2013,Mortality ,3 month,Cohort 2x2 (Events),,,,3,14,6,35,,,,,,,,,,,,,,,,,,,
Lee 2011,Mortality ,24 month,Cohort 2x2 (Events),,,,8,56,20,162,,,,,,,,,,,,,,,,,,,
Lee 2011,Mortality ,40 month,Cohort 2x2 (Events),,,,15,56,31,162,,,,,,,,,,,,,,,,,,,
Lee 2018,Mortality,1 month,Cohort 2x2 (Events),,,,2,83,5,517,,,,,,,,,,,,,,,,,,,
Leslie 2005,Mortality,12 month,Cohort 2x2 (Events),,,,48,115,174,804,,,,,,,,,,,,,,,,,,,
Leslie 2008,Mortality,12 month,Cohort 2x2 (Events),,,,47,109,161,732,,,,,,,,,,,,,,,,,,,
Lewis 1995,Mortality,3 month,Cohort 2x2 (Events),,,,4,20,28,362,,,,,,,,,,,,,,,,,,,
Li 2019,Mortality,12 month,Cohort 2x2 (Events),,,,1,32,5,79,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality  POD vs No POD and frailty,3.33 month,Cohort 2x2 (Events),,,,1,15,2,198,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality frailty and POD vs frailty only,10 month,Cohort 2x2 (Events),,,,4,23,6,62,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality POD vs No POD and frailty,10 month,Cohort 2x2 (Events),,,,3,15,5,198,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality frailty and POD vs frailty only,12 month,Cohort 2x2 (Events),,,,4,23,4,60,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality POD vs No POD and frailty,12 month,Cohort 2x2 (Events),,,,2,14,2,188,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality frailty and POD vs frailty only,3.33 month,Cohort 2x2 (Events),,,,4,23,3,62,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality frailty and POD vs frailty only,6.67 month,Cohort 2x2 (Events),,,,4,23,6,62,,,,,,,,,,,,,,,,,,,
Li 2021,Mortality POD vs No POD and frailty,6.67 month,Cohort 2x2 (Events),,,,3,15,5,198,,,,,,,,,,,,,,,,,,,
Lima 2010,Mortality POD vs No POD and frailty,12 month,Cohort 2x2 (Events),,,,33,63,45,133,,,,,,,,,,,,,,,,,,,
Lundström 2003,Mortality frailty and POD vs frailty only,60 month,Cohort 2x2 (Events),,,,21,29,17,49,,,,,,,,,,,,,,,,,,,
Luz 2020,Mortality,1 month,Cohort 2x2 (Events),,,,7,89,8,80,,,,,,,,,,,,,,,,,,,
Mariz 2013,Mortality,1 month,Cohort 2x2 (Events),,,,15,28,19,50,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,108 month,Cohort 2x2 (Events),,,,60,74,98,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,12 month,Cohort 2x2 (Events),,,,32,74,36,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,120 month,Cohort 2x2 (Events),,,,68,74,110,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,24 month,Cohort 2x2 (Events),,,,37,74,43,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality,36 month,Cohort 2x2 (Events),,,,39,74,48,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,48 month,Cohort 2x2 (Events),,,,41,74,51,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,60 month,Cohort 2x2 (Events),,,,47,74,58,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,72 month,Cohort 2x2 (Events),,,,52,74,65,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,84 month,Cohort 2x2 (Events),,,,54,74,83,125,,,,,,,,,,,,,,,,,,,
Marrama 2022,Mortality ,96 month,Cohort 2x2 (Events),,,,56,74,90,125,,,,,,,,,,,,,,,,,,,
Mauri 2021,Mortality ,12 month,Cohort 2x2 (Events),,,,42,66,224,595,,,,,,,,,,,,,,,,,,,
Mauri 2021,Mortality ,18 month,Cohort 2x2 (Events),,,,59,66,345,595,,,,,,,,,,,,,,,,,,,
Mauri 2021,Mortality,24 month,Cohort 2x2 (Events),,,,62,66,432,595,,,,,,,,,,,,,,,,,,,
Mauri 2021,Mortality ,6 month,Cohort 2x2 (Events),,,,35,66,108,595,,,,,,,,,,,,,,,,,,,
McAvay 2006,Mortality,12 month,Cohort 2x2 (Events),,,,8,31,75,378,,,,,,,,,,,,,,,,,,,
McCusker 2001,Mortality,12 month,Cohort 2x2 (Events),,,,93,220,14,95,,,,,,,,,,,,,,,,,,,
McCusker 2002,Mortality,12 month,Cohort 2x2 (Events),,,,101,243,17,118,,,,,,,,,,,,,,,,,,,
McCusker 2014,Mortality,6 month,Cohort 2x2 (Events),,,,7,31,21,243,,,,,,,,,,,,,,,,,,,
Minden 2005,Mortality,1 month,Cohort 2x2 (Events),,,,2,8,2,27,,,,,,,,,,,,,,,,,,,
Moreno-Gavino 2012,Mortality,12 month,Cohort 2x2 (Events),,,,108,198,430,1236,,,,,,,,,,,,,,,,,,,
Muresan 2016,Mortality,12 month,Cohort 2x2 (Events),,,,21,46,34,153,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,1.3 month,Cohort 2x2 (Events),,,,53,334,21,743,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,10 month,Cohort 2x2 (Events),,,,95,334,85,743,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,2 month,Cohort 2x2 (Events),,,,64,334,35,743,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,2.67 month,Cohort 2x2 (Events),,,,69,334,43,743,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,3.33 month,Cohort 2x2 (Events),,,,70,334,48,743,,,,,,,,,,,,,,,,,,,
Nishizawa 2023,Mortality ,6.67 month,Cohort 2x2 (Events),,,,87,334,67,743,,,,,,,,,,,,,,,,,,,
Noriega 2015,Mortality ,1 month,Cohort 2x2 (Events),,,,10,35,10,168,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Mortality ,12 month,Cohort 2x2 (Events),,,,4,75,1,60,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Mortality ,36 month,Cohort 2x2 (Events),,,,18,75,7,60,,,,,,,,,,,,,,,,,,,
Olofsson 2018,Mortality ,4 month,Cohort 2x2 (Events),,,,4,75,1,60,,,,,,,,,,,,,,,,,,,
Pak 2020,Mortality ,1 month,Cohort 2x2 (Events),,,,16,36,15,96,,,,,,,,,,,,,,,,,,,
Pak 2020,Mortality ,2 month,Cohort 2x2 (Events),,,,19,36,31,96,,,,,,,,,,,,,,,,,,,
Pak 2020,Mortality,3 month,Cohort 2x2 (Events),,,,23,36,43,96,,,,,,,,,,,,,,,,,,,
Patel 2014,Mortality,10 month,Cohort 2x2 (Events),,,,48,87,3,10,,,,,,,,,,,,,,,,,,,
Patel 2014,Mortality ,3.33 month,Cohort 2x2 (Events),,,,38,87,2,10,,,,,,,,,,,,,,,,,,,
Patel 2014,Mortality ,6.67 month,Cohort 2x2 (Events),,,,44,87,3,10,,,,,,,,,,,,,,,,,,,
Paulino 2023,Mortality ,3 month,Cohort 2x2 (Events),,,,3,34,1,72,,,,,,,,,,,,,,,,,,,
Paulino 2023,Mortality ,6 month,Cohort 2x2 (Events),,,,0,34,4,72,,,,,,,,,,,,,,,,,,,
Pompei 1994,Mortality,3 month,Cohort 2x2 (Events),,,,6,57,11,359,,,,,,,,,,,,,,,,,,,
Qu 2018,Mortality ,3 month,Cohort 2x2 (Events),,,,2,38,0,223,,,,,,,,,,,,,,,,,,,
Qu 2018,Mortality ,6 month,Cohort 2x2 (Events),,,,2,33,1,208,,,,,,,,,,,,,,,,,,,
Raats 2015,Mortality,1 month,Cohort 2x2 (Events),,,,3,35,1,197,,,,,,,,,,,,,,,,,,,
Raats 2015,Mortality,12 month,Cohort 2x2 (Events),,,,19,35,112,197,,,,,,,,,,,,,,,,,,,
Raats 2015,Mortality ,3 month,Cohort 2x2 (Events),,,,8,35,19,197,,,,,,,,,,,,,,,,,,,
Raats 2015,Mortality ,6 month,Cohort 2x2 (Events),,,,14,35,45,197,,,,,,,,,,,,,,,,,,,
Raats 2015,Mortality ,9 month,Cohort 2x2 (Events),,,,14,35,87,197,,,,,,,,,,,,,,,,,,,
Radinovic 2014,Mortality,1 month,Cohort 2x2 (Events),,,,15,88,3,99,,,,,,,,,,,,,,,,,,,
Rahkonen 2001,Mortality,24 month,Cohort 2x2 (Events),,,,11,20,54,179,,,,,,,,,,,,,,,,,,,
Reynish 2017,Mortality (delirium alone vs no cognitive disorder),1 month,Cohort 2x2 (Events),,,,123,901,323,3584,,,,,,,,,,,,,,,,,,,
Reynish 2017,Mortality (DSD vs dementia alone),1 month,Cohort 2x2 (Events),,,,57,389,57,444,,,,,,,,,,,,,,,,,,,
Reynish 2017,Mortality (delirium alone vs no cognitive disorder),12 month,Cohort 2x2 (Events),,,,326,901,932,3584,,,,,,,,,,,,,,,,,,,
Reynish 2017,Mortality (DSD vs dementia alone),12 month,Cohort 2x2 (Events),,,,170,389,195,444,,,,,,,,,,,,,,,,,,,
Robinson 2009,mortality ,1 month,Cohort 2x2 (Events),,,,6,64,1,80,,,,,,,,,,,,,,,,,,,
Robinson 2009,Mortality ,6 month,Cohort 2x2 (Events),,,,13,64,2,78,,,,,,,,,,,,,,,,,,,
Robinson 2011,Mortality,1 month,Cohort 2x2 (Events),,,,8,73,1,98,,,,,,,,,,,,,,,,,,,
Robinson 2011,Mortality,6 month,Cohort 2x2 (Events),,,,18,73,2,98,,,,,,,,,,,,,,,,,,,
Rockwood 1999,Mortality,36 month,Cohort 2x2 (Events),,,,30,38,71,165,,,,,,,,,,,,,,,,,,,
Ruggiero 2017,Mortality,12 month,Cohort 2x2 (Events),,,,31,133,45,381,,,,,,,,,,,,,,,,,,,
Sasajima 2012,Mortality ,12 month,Cohort 2x2 (Events),,,,5,88,15,211,,,,,,,,,,,,,,,,,,,
Sasajima 2012,Mortality ,24 month,Cohort 2x2 (Events),,,,11,88,21,211,,,,,,,,,,,,,,,,,,,
Sasajima 2012,Mortality ,36 month,Cohort 2x2 (Events),,,,16,88,28,211,,,,,,,,,,,,,,,,,,,
Sato 2017,Mortality,2 month,Cohort 2x2 (Events),,,,8,35,5,128,,,,,,,,,,,,,,,,,,,
Sauer 2017,Mortality ,1 month,Cohort 2x2 (Events),,,,0,23,3,161,,,,,,,,,,,,,,,,,,,
Sauer 2017,Mortality ,12 month,Cohort 2x2 (Events),,,,1,23,3,161,,,,,,,,,,,,,,,,,,,
Serrano-Duenas 2005,Mortality,60 month,Cohort 2x2 (Events),,,,10,21,4,21,,,,,,,,,,,,,,,,,,,
Sheng 2006,Mortality ,1 month,Cohort 2x2 (Events),,,,4,39,5,117,,,,,,,,,,,,,,,,,,,
Sheng 2006,Mortality ,12 month,Cohort 2x2 (Events),,,,16,39,18,117,,,,,,,,,,,,,,,,,,,
Sheng 2006,Mortality ,6 month,Cohort 2x2 (Events),,,,11,39,14,117,,,,,,,,,,,,,,,,,,,
Shi 2019,Mortality,36 month,Cohort 2x2 (Events),,,,8,28,7,75,,,,,,,,,,,,,,,,,,,
Shintani 2009,Mortality ,1.67 month,Cohort 2x2 (Events),,,,66,182,12,42,,,,,,,,,,,,,,,,,,,
Shintani 2009,Mortality ,3.33 month,Cohort 2x2 (Events),,,,75,182,18,42,,,,,,,,,,,,,,,,,,,
Shintani 2009,Mortality ,5 month,Cohort 2x2 (Events),,,,82,182,20,42,,,,,,,,,,,,,,,,,,,
Sri-on 2016,Mortality,1 month,Cohort 2x2 (Events),,,,4,27,3,205,,,,,,,,,,,,,,,,,,,
Suraarunsumrit 2022,Mortality,3 month,Cohort 2x2 (Events),,,,7,42,6,247,,,,,,,,,,,,,,,,,,,
Tahir 2018,Mortality,1 month,Cohort 2x2 (Events),,,,7,70,19,311,,,,,,,,,,,,,,,,,,,
Tahir 2018,Mortality ,12 month,Cohort 2x2 (Events),,,,18,70,47,311,,,,,,,,,,,,,,,,,,,
Tan AH 2015,Mortality,6 month,Cohort 2x2 (Events),,,,11,28,22,222,,,,,,,,,,,,,,,,,,,
To-adithep 2023,Mortality,12 month,Cohort 2x2 (Events),,,,75,170,84,460,,,,,,,,,,,,,,,,,,,
Trevisan 2023,Mortality,9 month,Cohort 2x2 (Events),,,,20,132,23,964,,,,,,,,,,,,,,,,,,,
Tripathy 2014,Mortality ,1 month,Cohort 2x2 (Events),,,,22,56,11,53,,,,,,,,,,,,,,,,,,,
Tripathy 2014,Mortality ,12 month,Cohort 2x2 (Events),,,,33,56,18,53,,,,,,,,,,,,,,,,,,,
Tsai 2012,Mortality ,12 month,Cohort 2x2 (Events),,,,61,172,122,442,,,,,,,,,,,,,,,,,,,
Tsai 2012,Mortality ,24 month,Cohort 2x2 (Events),,,,74,172,168,442,,,,,,,,,,,,,,,,,,,
Tsai 2012,Mortality ,36 month,Cohort 2x2 (Events),,,,80,172,200,442,,,,,,,,,,,,,,,,,,,
Uthamalingam 2011,Mortality,3 month,Cohort 2x2 (Events),,,,36,134,62,687,,,,,,,,,,,,,,,,,,,
VanDerWulp 2019,Mortality ,1 month,Cohort 2x2 (Events),,,,9,116,19,587,,,,,,,,,,,,,,,,,,,
VanDerWulp 2019,Mortality ,12 month,Cohort 2x2 (Events),,,,29,116,80,587,,,,,,,,,,,,,,,,,,,
VanDerWulp 2019,Mortality ,24 month,Cohort 2x2 (Events),,,,50,116,229,587,,,,,,,,,,,,,,,,,,,
VanDerWulp 2019,Mortality ,36 month,Cohort 2x2 (Events),,,,67,116,368,578,,,,,,,,,,,,,,,,,,,
VanDerWulp 2019,Mortality ,48 month,Cohort 2x2 (Events),,,,78,116,454,587,,,,,,,,,,,,,,,,,,,
